timstamp,high,low,open,close
1605830400000,0.30356000,0.33091000,0.29679000,0.32991000
1605916800000,0.32993000,0.46950000,0.32929000,0.46283000
1606003200000,0.46283000,0.49659000,0.40155000,0.44611000
1606089600000,0.44592000,0.61984000,0.43232000,0.61579000
1606176000000,0.61562000,0.78068000,0.56777000,0.69400000
1606262400000,0.69399000,0.72500000,0.58405000,0.63022000
1606348800000,0.63024000,0.65200000,0.45600000,0.53654000
1606435200000,0.53649000,0.58669000,0.50345000,0.56230000
1606521600000,0.56250000,0.64888000,0.53870000,0.62579000
1606608000000,0.62573000,0.63700000,0.58285000,0.60543000
1606694400000,0.60543000,0.67910000,0.59881000,0.66417000
1606780800000,0.66378000,0.68100000,0.56401000,0.61088000
1606867200000,0.61130000,0.63680000,0.59455000,0.62972000
1606953600000,0.62969000,0.64180000,0.61490000,0.63046000
1607040000000,0.63046000,0.63420000,0.54253000,0.55367000
1607126400000,0.55355000,0.59628000,0.54833000,0.58517000
1607212800000,0.58516000,0.62801000,0.57907000,0.62107000
1607299200000,0.62096000,0.62400000,0.59084000,0.60818000
1607385600000,0.60822000,0.61048000,0.55000000,0.55890000
1607472000000,0.55897000,0.60544000,0.50383000,0.58265000
1607558400000,0.58284000,0.58848000,0.55318000,0.57267000
1607644800000,0.57267000,0.58697000,0.52594000,0.54945000
1607731200000,0.54847000,0.55102000,0.48521000,0.50658000
1607817600000,0.50658000,0.52780000,0.48550000,0.51365000
1607904000000,0.51366000,0.51852000,0.48901000,0.49740000
1607990400000,0.49737000,0.50715000,0.46433000,0.46793000
1608076800000,0.46793000,0.57477000,0.43722000,0.56941000
1608163200000,0.56938000,0.65852000,0.53580000,0.57690000
1608249600000,0.57685000,0.61346000,0.55101000,0.58337000
1608336000000,0.58335000,0.60377000,0.56588000,0.57666000
1608422400000,0.57692000,0.58658000,0.52870000,0.55586000
1608508800000,0.55576000,0.56935000,0.49825000,0.51445000
1608595200000,0.51469000,0.52213000,0.40215000,0.44642000
1608681600000,0.44636000,0.44842000,0.21164000,0.26050000
1608768000000,0.26050000,0.37780000,0.24003000,0.33863000
1608854400000,0.33865000,0.38550000,0.27970000,0.31768000
1608940800000,0.31790000,0.32723000,0.28303000,0.29481000
1609027200000,0.29484000,0.31200000,0.26600000,0.28407000
1609113600000,0.28401000,0.31000000,0.23410000,0.24845000
1609200000000,0.24832000,0.25167000,0.17351000,0.22142000
1609286400000,0.22142000,0.23665000,0.19186000,0.21138000
1609372800000,0.21133000,0.22949000,0.20521000,0.21959000
1609459200000,0.21953000,0.25000000,0.21600000,0.23746000
1609545600000,0.23740000,0.23823000,0.21084000,0.22064000
1609632000000,0.22064000,0.23852000,0.21500000,0.22540000
1609718400000,0.22540000,0.26091000,0.21800000,0.23565000
1609804800000,0.23568000,0.24269000,0.21774000,0.22573000
1609891200000,0.22577000,0.27450000,0.22139000,0.24854000
1609977600000,0.24856000,0.37000000,0.24530000,0.32389000
1610064000000,0.32389000,0.34670000,0.28487000,0.32032000
1610150400000,0.32049000,0.33950000,0.30523000,0.32419000
1610236800000,0.32419000,0.36800000,0.28708000,0.31491000
1610323200000,0.31487000,0.31627000,0.25343000,0.28743000
1610409600000,0.28742000,0.31003000,0.27743000,0.29254000
1610496000000,0.29241000,0.31000000,0.28480000,0.30582000
1610582400000,0.30570000,0.30900000,0.28334000,0.29642000
1610668800000,0.29648000,0.30337000,0.26100000,0.27991000
1610755200000,0.27987000,0.29666000,0.27503000,0.27924000
1610841600000,0.27920000,0.28572000,0.26846000,0.27746000
1610928000000,0.27741000,0.28875000,0.27144000,0.28528000
1611014400000,0.28529000,0.33000000,0.28396000,0.29396000
1611100800000,0.29395000,0.31184000,0.28000000,0.29539000
1611187200000,0.29553000,0.30797000,0.25992000,0.26802000
1611273600000,0.26786000,0.27826000,0.24021000,0.27217000
1611360000000,0.27216000,0.28356000,0.26545000,0.27167000
1611446400000,0.27169000,0.27798000,0.26804000,0.27339000
1611532800000,0.27335000,0.28500000,0.26679000,0.26757000
1611619200000,0.26751000,0.27095000,0.25800000,0.26834000
1611705600000,0.26837000,0.26871000,0.24388000,0.25039000
1611792000000,0.25058000,0.27000000,0.24699000,0.26407000
1611878400000,0.26413000,0.31724000,0.25915000,0.28290000
1611964800000,0.28290000,0.51780000,0.27800000,0.44372000
1612051200000,0.44369000,0.51000000,0.38500000,0.49507000
1612137600000,0.49516000,0.75500000,0.35928000,0.37106000
1612224000000,0.37123000,0.41123000,0.34010000,0.37254000
1612310400000,0.37254000,0.41900000,0.37254000,0.39721000
1612396800000,0.39721000,0.48159000,0.37885000,0.44545000
1612483200000,0.44535000,0.47222000,0.42410000,0.45219000
1612569600000,0.45195000,0.45688000,0.42000000,0.44307000
1612656000000,0.44307000,0.45089000,0.39123000,0.41849000
1612742400000,0.41848000,0.46920000,0.41250000,0.45099000
1612828800000,0.45098000,0.49000000,0.44901000,0.47636000
1612915200000,0.47637000,0.54224000,0.45000000,0.50429000
1613001600000,0.50422000,0.53545000,0.49982000,0.52806000
1613088000000,0.52824000,0.61922000,0.51871000,0.60900000
1613174400000,0.60900000,0.64244000,0.54306000,0.63309000
1613260800000,0.63309000,0.63981000,0.56111000,0.59211000
1613347200000,0.59217000,0.60430000,0.50891000,0.54976000
1613433600000,0.54987000,0.58005000,0.48111000,0.51995000
1613520000000,0.51980000,0.55751000,0.49336000,0.53467000
1613606400000,0.53460000,0.55995000,0.51901000,0.53204000
1613692800000,0.53217000,0.58195000,0.51310000,0.56465000
1613779200000,0.56478000,0.58235000,0.47231000,0.51167000
1613865600000,0.51150000,0.55858000,0.50311000,0.54468000
1613952000000,0.54468000,0.65155000,0.51000000,0.56646000
1614038400000,0.56637000,0.57172000,0.36500000,0.47579000
1614124800000,0.47580000,0.49999000,0.45120000,0.46860000
1614211200000,0.46864000,0.48233000,0.42440000,0.43601000
1614297600000,0.43599000,0.45067000,0.41111000,0.42788000
1614384000000,0.42794000,0.45945000,0.42681000,0.43589000
1614470400000,0.43586000,0.43876000,0.39268000,0.41565000
1614556800000,0.41570000,0.45400000,0.41207000,0.44537000
1614643200000,0.44537000,0.45532000,0.42159000,0.43570000
1614729600000,0.43572000,0.46869000,0.43011000,0.44846000
1614816000000,0.44841000,0.49449000,0.43411000,0.48096000
1614902400000,0.48120000,0.48488000,0.44575000,0.45457000
1614988800000,0.45441000,0.47650000,0.44901000,0.46285000
1615075200000,0.46292000,0.46890000,0.45641000,0.46558000
1615161600000,0.46579000,0.48987000,0.45505000,0.47412000
1615248000000,0.47413000,0.48736000,0.47100000,0.48490000
1615334400000,0.48481000,0.48870000,0.45450000,0.46155000
1615420800000,0.46170000,0.46427000,0.44058000,0.45187000
1615507200000,0.45187000,0.46488000,0.42205000,0.43934000
1615593600000,0.43934000,0.46646000,0.43205000,0.45787000
1615680000000,0.45786000,0.46155000,0.43857000,0.43905000
1615766400000,0.43900000,0.44815000,0.42268000,0.43574000
1615852800000,0.43566000,0.52221000,0.42723000,0.46024000
1615939200000,0.46037000,0.48245000,0.45317000,0.46980000
1616025600000,0.46993000,0.49050000,0.46558000,0.46893000
1616112000000,0.46899000,0.47536000,0.45848000,0.46651000
1616198400000,0.46650000,0.54999000,0.46424000,0.52613000
1616284800000,0.52584000,0.54691000,0.49508000,0.51651000
1616371200000,0.51661000,0.60000000,0.50082000,0.54410000
1616457600000,0.54403000,0.59638000,0.53780000,0.54980000
1616544000000,0.54945000,0.56302000,0.45212000,0.48021000
1616630400000,0.48022000,0.52480000,0.45400000,0.51058000
1616716800000,0.51034000,0.57689000,0.50999000,0.56357000
1616803200000,0.56348000,0.57464000,0.53420000,0.54752000
1616889600000,0.54735000,0.56075000,0.53879000,0.54552000
1616976000000,0.54550000,0.57082000,0.54317000,0.56538000
1617062400000,0.56528000,0.58800000,0.55903000,0.56210000
1617148800000,0.56207000,0.57682000,0.52624000,0.56982000
1617235200000,0.56980000,0.59555000,0.54864000,0.57087000
1617321600000,0.57061000,0.61000000,0.56522000,0.60701000
1617408000000,0.60701000,0.64262000,0.57300000,0.57831000
1617494400000,0.57836000,0.63599000,0.56591000,0.63500000
1617580800000,0.63501000,0.93999000,0.61940000,0.91584000
1617667200000,0.91584000,1.11900000,0.79310000,1.09663000
1617753600000,1.09666000,1.10882000,0.85600000,0.91542000
1617840000000,0.91544000,1.07294000,0.90128000,1.05599000
1617926400000,1.05571000,1.08490000,0.98080000,1.01721000
1618012800000,1.01754000,1.39900000,1.00617000,1.37280000
1618099200000,1.37215000,1.50000000,1.30500000,1.35118000
1618185600000,1.35118000,1.47500000,1.31804000,1.46843000
1618272000000,1.46850000,1.88888000,1.41778000,1.79611000
1618358400000,1.79607000,1.96689000,1.56001000,1.83468000
1618444800000,1.83396000,1.88500000,1.65243000,1.75781000
1618531200000,1.75781000,1.81041000,1.42000000,1.54805000
1618617600000,1.54805000,1.74163000,1.52991000,1.53896000
1618704000000,1.53988000,1.56505000,1.16000000,1.40797000
1618790400000,1.40797000,1.53390000,1.25100000,1.30945000
1618876800000,1.30941000,1.44796000,1.18000000,1.38501000
1618963200000,1.38500000,1.46450000,1.27545000,1.29097000
1619049600000,1.29110000,1.41947000,1.08590000,1.15489000
1619136000000,1.15489000,1.19724000,0.88601000,1.17073000
1619222400000,1.17019000,1.17200000,1.01753000,1.04833000
1619308800000,1.04971000,1.15600000,0.94180000,1.03510000
1619395200000,1.03530000,1.37500000,1.01330000,1.36290000
1619481600000,1.36290000,1.46200000,1.32840000,1.40170000
1619568000000,1.40170000,1.44920000,1.28140000,1.35760000
1619654400000,1.35760000,1.42000000,1.32630000,1.39780000
1619740800000,1.39780000,1.63970000,1.37450000,1.59880000
1619827200000,1.59890000,1.66660000,1.52260000,1.65100000
1619913600000,1.65100000,1.65800000,1.52500000,1.56050000
1620000000000,1.56050000,1.62160000,1.47000000,1.55460000
1620086400000,1.55460000,1.55800000,1.32000000,1.38770000
1620172800000,1.38780000,1.62400000,1.36600000,1.61330000
1620259200000,1.61370000,1.76580000,1.52100000,1.60280000
1620345600000,1.60280000,1.69500000,1.50500000,1.57930000
1620432000000,1.57950000,1.62770000,1.54040000,1.56110000
1620518400000,1.56110000,1.59680000,1.42490000,1.53450000
1620604800000,1.53430000,1.62700000,1.21400000,1.39060000
1620691200000,1.39100000,1.49050000,1.35550000,1.47860000
1620777600000,1.47880000,1.54700000,1.23500000,1.26910000
1620864000000,1.26900000,1.38900000,1.20000000,1.36400000
1620950400000,1.36440000,1.44880000,1.32100000,1.40000000
1621036800000,1.39980000,1.58690000,1.32110000,1.49040000
1621123200000,1.49110000,1.61310000,1.33730000,1.44960000
1621209600000,1.44960000,1.56500000,1.32420000,1.49460000
1621296000000,1.49520000,1.70500000,1.46980000,1.58890000
1621382400000,1.58930000,1.64480000,0.85000000,1.05680000
1621468800000,1.05650000,1.26640000,0.90000000,1.17950000
1621555200000,1.18020000,1.21940000,0.86410000,1.00620000
1621641600000,1.00620000,1.01620000,0.81600000,0.90520000
1621728000000,0.90520000,0.96790000,0.65000000,0.78980000
1621814400000,0.78990000,0.99700000,0.75370000,0.99300000
1621900800000,0.99340000,1.07000000,0.87910000,0.97460000
1621987200000,0.97470000,1.06980000,0.94610000,1.03160000
1622073600000,1.03160000,1.04230000,0.93220000,0.97470000
1622160000000,0.97470000,0.98470000,0.84450000,0.89850000
1622246400000,0.89850000,0.94130000,0.79110000,0.83180000
1622332800000,0.83190000,0.93370000,0.79740000,0.90580000
1622419200000,0.90580000,1.04950000,0.87890000,1.04090000
1622505600000,1.04090000,1.10000000,0.97420000,1.01080000
1622592000000,1.01080000,1.04980000,0.97930000,1.02410000
1622678400000,1.02410000,1.07890000,1.00690000,1.04500000
1622764800000,1.04530000,1.04660000,0.91560000,0.96830000
1622851200000,0.96830000,0.99730000,0.89210000,0.92300000
1622937600000,0.92300000,0.94930000,0.91700000,0.94700000
1623024000000,0.94690000,0.97600000,0.83800000,0.86180000
1623110400000,0.86190000,0.88610000,0.78380000,0.87310000
1623196800000,0.87300000,0.92180000,0.83000000,0.92180000
1623283200000,0.92180000,0.92980000,0.85220000,0.86860000
1623369600000,0.86860000,0.88000000,0.83350000,0.84710000
1623456000000,0.84690000,0.84790000,0.80540000,0.83260000
1623542400000,0.83250000,0.88830000,0.81700000,0.88320000
1623628800000,0.88330000,0.93000000,0.86280000,0.89060000
1623715200000,0.89050000,0.90170000,0.85510000,0.86630000
1623801600000,0.86630000,0.87330000,0.82590000,0.83200000
1623888000000,0.83190000,0.86120000,0.82340000,0.84190000
1623974400000,0.84190000,0.84500000,0.76870000,0.79720000
1624060800000,0.79710000,0.80550000,0.75570000,0.75820000
1624147200000,0.75830000,0.78500000,0.69680000,0.77410000
1624233600000,0.77410000,0.78030000,0.60370000,0.60670000
1624320000000,0.60680000,0.65000000,0.50900000,0.54680000
1624406400000,0.54680000,0.66550000,0.52030000,0.63830000
1624492800000,0.63830000,0.69280000,0.61630000,0.67310000
1624579200000,0.67310000,0.68890000,0.60190000,0.61110000
1624665600000,0.61100000,0.63290000,0.58140000,0.61620000
1624752000000,0.61630000,0.65230000,0.59630000,0.64840000
1624838400000,0.64830000,0.65830000,0.62380000,0.64440000
1624924800000,0.64440000,0.73400000,0.64170000,0.70630000
1625011200000,0.70620000,0.71450000,0.64770000,0.70630000
1625097600000,0.70620000,0.70640000,0.64400000,0.65910000
1625184000000,0.65920000,0.66760000,0.63290000,0.65560000
1625270400000,0.65570000,0.68490000,0.64330000,0.67320000
1625356800000,0.67330000,0.70910000,0.66550000,0.69600000
1625443200000,0.69600000,0.69700000,0.64440000,0.65260000
1625529600000,0.65260000,0.68000000,0.65110000,0.66480000
1625616000000,0.66480000,0.67400000,0.65000000,0.65220000
1625702400000,0.65210000,0.65450000,0.61080000,0.62150000
1625788800000,0.62140000,0.64570000,0.59170000,0.63690000
1625875200000,0.63690000,0.64890000,0.61200000,0.62460000
1625961600000,0.62460000,0.64490000,0.61690000,0.63640000
1626048000000,0.63630000,0.65750000,0.61720000,0.62880000
1626134400000,0.62880000,0.64260000,0.60860000,0.61920000
1626220800000,0.61930000,0.62500000,0.58510000,0.61970000
1626307200000,0.61960000,0.62690000,0.58740000,0.59790000
1626393600000,0.59790000,0.62110000,0.58740000,0.58930000
1626480000000,0.58930000,0.59770000,0.56000000,0.58210000
1626566400000,0.58220000,0.60160000,0.57100000,0.58660000
1626652800000,0.58670000,0.58890000,0.55330000,0.55700000
1626739200000,0.55700000,0.56990000,0.51570000,0.52840000
1626825600000,0.52840000,0.58400000,0.51930000,0.57190000
1626912000000,0.57180000,0.60330000,0.56090000,0.59200000
1626998400000,0.59200000,0.61010000,0.57530000,0.60910000
1627084800000,0.60920000,0.62050000,0.59960000,0.60850000
1627171200000,0.60850000,0.61180000,0.59060000,0.60690000
1627257600000,0.60690000,0.67930000,0.60480000,0.62340000
1627344000000,0.62340000,0.65280000,0.61210000,0.64510000
1627430400000,0.64500000,0.75490000,0.63080000,0.73270000
1627516800000,0.73270000,0.76650000,0.69700000,0.74880000
1627603200000,0.74880000,0.76970000,0.71150000,0.75210000
1627689600000,0.75220000,0.75910000,0.73670000,0.74690000
